Texte;Type d'entité
I;I-PER
"
";O
LHÔTELLERIE;B-ORG
À;O
la;O
fin;O
du;O
mois;O
doctobre;O
1672;O
un;O
lourd;O
carrosse;O
traîné;O
par;O
quatre;O
chevaux;O
assez;O
maigres;O
et;O
très;O
fatigués;O
parcourait;O
vers;O
les;O
sept;O
heures;I-MISC
soir;O
rue;O
Saint-Honoré;I-LOC
 ;O
le;O
cocher;O
laquais;B-LOC
qui;O
suivait;O
sarrêtaient;O
à;O
chaque;O
nouvelle;O
enseigne;O
dhôtellerie;O
continuaient;I-MISC
leur;O
marche;O
lorsquon;O
avait;O
répondu;I-PER
leurs;O
questions;O
Enfin;O
lauberge;O
de;O
Saint-Gabriel;B-LOC
après;O
colloque;O
long;O
avec;O
maître;O
maison;I-MISC
léquipage;O
entra;O
dans;O
cour;O
porte;O
se;O
referma;O
au;O
grand;O
désappointement;O
des;O
curieux;O
Cette;O
voiture;I-MISC
renfermait;O
dabord;O
vieux;O
seigneur;O
en;O
habit;O
voyage;O
dont;O
lair;O
insignifiant;O
cherchait;O
prendre;O
limportance;O
puis;O
une;O
jeune;O
fille;O
sa;O
suivante;O
Toutes;O
deux;O
sautèrent;O
terre;O
vivacité;O
âge;O
—;O
On;O
va;O
donner;O
chambre;O
madame;B-PER
dit;O
lhôtelière;O
on;O
placera;O
monsieur;O
auprès;O
seigneurs;O
Lameth;I-PER
ainsi;O
quils;O
ont;O
envoyé;O
lordre;O
La;O
dame;O
monta;O
sans;O
répondre;O
degrés;O
conduisirent;O
aux;O
étages;O
supérieurs;O
derrière;O
elle;O
introduisit;I-MISC
grande;O
pièce;O
noire;O
donnant;O
sur;O
rideaux;I-MISC
serge;B-PER
verte;I-PER
tenture;O
personnages;O
Laspect;B-ORG
cet;O
appartement;O
fit;O
pousser;O
gros;O
soupir;O
étrangères;O
maîtresse;O
laissa;O
tomber;O
fauteuil;O
ôter;O
ni;O
mante;I-MISC
ses;O
coiffes;O
Lorsquon;B-LOC
eut;O
fait;O
feu;O
quon;O
seules;O
" 
";O
Eh;B-MISC
bien;O
Louison;B-MISC
personne;O
que;O
te;O
semble;O
ce;O
lieu;O
-;O
ci;I-MISC
Je;B-MISC
trouve;O
abominable;O
mademoiselle;O
Il;O
ne;O
doit;O
pas;O
y;O
faire;O
clair;O
plein;O
midi;O
il;O
règne;O
odeur;O
renfermé;O
mal;O
cœur;O
Aller;B-PER
choisir;O
Paris;B-LOC
trou;O
comme;O
celui;O
-là;O
ny;O
a;O
M;B-PER
Bussy;I-PER
capable;O
dune;O
chose;O
semblable;O
Cest;B-LOC
tout;O
plan;O
Que;B-MISC
veux;O
tu;I-LOC
dire;O
là;O
Ce;O
jai;O
tardé;O
vous;O
apprendre;O
crainte;O
peine;O
parce;O
cru;O
nauraient;O
courage;O
dy;O
persister;O
Et;O
quoi;O
donc;O
A;O
présent;O
exécutent;O
menaces;O
je;O
men;O
vais;I-MISC
révéler;O
comte;O
promenait;O
Sissone;I-PER
verger;O
père;O
Jétais;I-PER
cueillir;O
raisins;O
cachée;O
treille;O
jeus;O
peur;O
me;O
vissent;O
car;O
maurait;O
grondée;O
gardai;O
montrer;O
Ils;O
vinrent;O
juste;O
sasseoir;O
banc;O
face;O
tonnelle;O
jentendis;O
toute;O
conversation;O
Dabord;B-MISC
nécoutai;O
mais;O
ils;O
prononcèrent;O
nom;O
pensai;O
cela;O
pourrait;O
lui;O
être;O
utile;O
prêtai;O
loreille;O
Oui;O
disait;O
ma;O
veut;O
aller;O
faudra;O
accorder;O
cette;O
grâce;O
cest;O
condition;O
quelle;O
met;O
son;O
mariage;O
connaissez;I-MISC
Henriette;B-PER
cédera;O
connais;O
est;O
forte;O
êtes;O
faible;O
savez;O
avoir;O
volonté;O
avez;O
enfant;O
despote;O
auquel;O
obéissez;O
obéir;O
Vous;B-MISC
soupçonnez;I-MISC
conséquences;I-MISC
éducation;I-MISC
Jai;B-PER
deviné;I-MISC
caractère;O
moi;O
bonheur;O
mon;I-MISC
fils;O
placé;O
près;O
delle;O
avant-garde;O
(;O
demande;O
pardon;O
nest;O
parle;O
);O
ambitieuse;O
passionnée;O
vaine;O
surtout;O
sais;O
si;O
aimera;O
quil;O
certain;O
laime;O
serait;O
dangereux;O
conduire;O
où;O
beauté;O
attirera;O
hommages;O
empressés;O
voudra;O
plus;O
sortir;O
Cependant;O
nous;O
pouvons;O
tourner;O
difficulté;I-MISC
parlant;O
impérieux;O
tous;O
penchants;O
lorgueil;O
Comment;O
Châtelaine;B-PER
Pinon;B-LOC
comtesse;O
mènera;O
train;O
princesse;O
aura;O
belle;O
position;O
province;O
sera;O
monde;O
moins;O
lé;O
humiliée;O
navez;I-MISC
fortune;O
plusieurs;O
enfants;O
difficile;O
plaisirs;O
auxquels;O
sattend;O
placer;O
aussi;O
haut;O
voudrait;O
fierté;O
Cédez;B-PER
désir;O
lassera;O
vite;O
demandera;O
elle-même;O
revenir;O
Picardie;B-LOC
Mais;O
reprit;O
votre;O
rencontrait;O
quelque;O
godelureau;O
tournât;O
tête;O
comment;O
prendrions;O
-nous;I-MISC
pour;O
lempêcher;O
folie;O
supposition;O
admissible;O
interrompit;O
avons;O
parole;O
gentilhomme;O
Roucy;I-MISC
sait;O
trop;O
manquer;O
Nous;B-MISC
irons;I-MISC
Sans;O
doute;O
conditions;O
ai;O
posées;O
peut;O
favorable;O
Comme;O
contente;O
voilà;O
toujours;O
même;O
uniquement;O
occupé;O
plaisir;O
ferez;O
penser;O
choses;O
sérieuses;O
sermon;O
faiblesse;O
tendresse;O
aveugle;O
ajoutant;O
gâterait;O
avenir;O
dérangerait;O
plans;O
mille;O
discours;O
genre;O
assuré;O
ferme;I-MISC
laisserait;O
séduire;O
sont;O
levés;O
rentrés;O
château;O
Le;O
notre;O
départ;O
été;O
annoncé;O
nen;O
davantage;O
Mademoiselle;B-PER
écouté;O
tète;O
appuyée;O
yeux;I-MISC
charbons;O
lattitude;O
réflexion;O
profonde;O
Ah;B-MISC
projet;O
-elle;O
lentement;O
cherche;O
deviner;O
énigme;O
veulent;O
mhumilier;O
accepter;O
bienfait;O
main;O
continua;O
-t;O
levant;O
résolument;O
laisserai;O
jouer;O
croient;O
Mon;B-MISC
bon;O
raison;O
trouverai;O
