Texte;Type d'entité
LHOTELLERIE;B-MISC
"

";O
À;O
la;O
fin;O
du;O
mois;O
doctobre;I-MISC
4672;O
un;O
lourd;O
"
";O
carrosse;O
trainé;O
par;O
quatre;O
chevaux;O
assez;O
mai-;O
gres;O
et;O
très;O
fatigués;O
parcourait;O
vers;O
les;O
sept;O
heures;I-MISC
soir;O
rue;O
Saint-Honoré;I-LOC
le;O
cocher;O
laquais;O
qui;O
suivait;O
sarrétaient;O
à;O
chaque;O
nouvelleenseigne;O
dhôtellerie;O
continuaient;O
leur;O
marche;O
lorsquon;O
avait;O
répondu;O
leurs;O
questions;O
Enfin;O
lauberge;O
de;O
Saint-Gabriel;B-LOC
1;O
"

";O
2;I-LOC
LE;O
CHATEAU;B-ORG
DE;O
PINON;B-ORG
après;O
Colloque;B-ORG
long;O
avec;O
maître;O
son;O
léquipage;O
entra;O
dans;O
lacouretla;O
portese;O
re-;O
fermaaugrand;O
désappointement;O
des;I-MISC
curieux;I-MISC
Cette;O
voiture;I-MISC
renfermait;O
dabord;O
vieux;O
sei-;O
gneur;O
en;O
habit;O
voyage;I-MISC
dont;O
lair;O
insignifiant;O
cherchait;O
prendre;O
limportance;O
 ;O
puis;O
une;O
jeune;O
fille;O
sa;O
suivante;O
Toutes;O
deux;O
sautèrent;O
|;O
terre;O
vivacité;O
âge;O
—;O
On;O
va;O
donner;O
chambre;I-MISC
madame;B-PER
dit;O
lhôtellière;O
on;O
placera;O
monsieur;O
auprès;O
seigneurs;O
Lameth;I-PER
ainsi;O
quils;O
ont;O
envoyé;O
lordre;O
La;O
dame;O
monta;O
sans;O
répondre;O
de-;O
grés;O
conduisirent;O
aux;O
étages;O
supérieurs;O
derrière;O
elle;O
intro;I-MISC
duisit;O
grande;O
pièce;O
noire;O
donnant;O
sur;O
cour;O
rideaux;I-MISC
serge;B-PER
verte;I-PER
tenture;O
personnages;O
Laspect;B-ORG
cet;O
apparte-;O
ment;O
fit;O
pousser;O
gros;O
soupir;O
étrangères;O
maitresse;O
se;O
laissa;O
tomber;O
fauteuil;O
ôter;O
ni;O
manie;O
ses;O
coiffes;O
Lorsquon;B-LOC
eut;O
fait;O
feu;O
quon;O
seules;O
Eh;B-MISC
bien;O
Louison;B-MISC
personne;O
que;O
te;O
semble;O
ce;O
lieu;O
-;O
c1;B-ORG
Je;I-MISC
trouve;O
abominable;O
mademoiselle;O
J;O
ne;O
doit;O
pas;O
y;O
faire;O
clair;O
plein;O
midi;O
il;O
règne;O
odeur;O
renfermé;O
mal;O
au;O
cœur;O
_;O
Aller;B-PER
choisir;O
