Texte;Type d'entité
LA;O
FABRIOUE;B-ORG
"

";O
EE;B-ORG
"
";O
Je;O
suis;O
ne;O
le;O
rg;O
mai;O
8;O
dans;O
une;O
ville;O
du;O
Languedoc;B-LOC
oi;O
lon;O
trouve;O
comme;O
toutes;O
les;O
villes;O
Midi;B-LOC
beaucoup;O
de;O
soleil;I-MISC
pas;O
mal;O
poussiere;O
un;O
couvent;O
Carmelites;O
et;O
deux;O
ou;O
trois;O
monuments;O
romains;O
Mon;O
pere;I-MISC
M;I-PER
Eyssette;O
qui;O
faisait;O
a;O
cette;O
epoque;O
commerce;O
des;O
foulards;O
avait;O
aux;O
portes;O
la;O
grande;O
fabrique;O
pan;O
laquelle;O
il;O
setait;O
taille;O
habitation;O
commode;O
tout;O
ombragee;O
platanes;O
separee;O
ateliers;O
par;O
vaste;O
jardin;O
Cest;B-LOC
que;O
je;O
venu;O
au;O
monde;O
jai;O
passe;I-MISC
premieres;O
seules;O
bonnes;O
annees;O
ma;O
vie;O
Aussi;O
memoire;O
reconnaissante;O
-t;O
-elle;O
garde;O
imperissable;O
souvenir;O
lorsqua;O
ruine;O
mes;O
parents;O
fallu;O
me;I-MISC
separer;O
ces;O
choses;O
ai;O
positivement;O
regrettees;O
etres;I-MISC
Source;B-MISC
gallicabnffr;I-MISC
 ;I-PER
Bibliotheque;B-LOC
nationale;I-LOC
FranceLE;I-LOC
PETIT;B-ORG
CHOSE;I-ORG
dois;O
dire;O
pour;O
commencer;O
naissance;I-MISC
porta;O
bonheur;O
maison;O
La;B-MISC
vieille;O
Annou;B-LOC
notre;O
cuisiniere;O
souvent;O
conte;O
depuis;O
quoi;O
mon;O
en;O
voyage;O
ce;O
moment;O
recut;O
meme;O
temps;I-MISC
nouvelle;O
apparition;O
celle;O
disparition;O
dun;O
ses;O
clients;O
Marseille;B-LOC
lui;O
emportait;O
plus;O
quarante;O
mille;I-MISC
francs;O
si;O
bien;O
heureux;O
desole;O
coup;O
se;O
demandait;O
lautre;O
sil;O
devait;O
pleurer;O
client;O
rire;O
lheureuse;O
arrivee;O
petit;O
Daniel;B-PER
Il;O
fallait;O
bon;O
monsieur;O
doublement;O
verite;O
fus;O
mauvaise;O
etoile;O
Du;I-MISC
jour;O
dincroyables;I-MISC
malheurs;O
assaillirent;O
vingt;O
endroits;O
Dabord;B-LOC
nous;O
emes;O
donc;O
puis;O
fois;O
feu;O
annee;O
greve;O
ourdisseuses;O
brouille;O
avec;O
loncle;O
Baptiste;B-PER
proces;O
tres;O
coteux;O
nos;O
marchands;O
couleurs;O
enfin;O
Revolution;B-MISC
r8;B-ORG
donna;O
grace;O
A;I-MISC
partir;O
battit;O
dune;O
aile;O
viderent;O
chaque;O
semaine;O
metier;O
bas;O
mois;O
table;O
dimpression;O
moins;O
Cetait;B-MISC
pitie;O
voir;O
sen;O
aller;O
corps;O
malade;O
lentement;O
tous;O
jours;O
peu;O
Une;O
on;O
nentra;I-MISC
salles;O
second;O
autre;O
cour;O
fond;O
fut;O
condamnee;O
Cela;O
dura;O
ainsi;O
pendant;O
ans;O
agonisa;O
Enfin;O
ouvriers;O
vinrent;O
cloche;O
sonna;O
puits;O
roue;O
cessa;O
grincer;O
leau;O
grands;O
bassins;O
lesquels;O
lavait;O
tissus;O
demeura;O
immobile;I-MISC
bientot;O
toute;O
resta;O
Me;B-PER
frere;O
Jacques;I-PER
moi;O
-;O
garder;O
concierge;O
Colombe;B-LOC
son;O
fils;I-MISC
Rouget;B-PER
fini;O
etions;O
ruines;O
avais;O
alors;O
six;O
sept;O
Comme;O
jetais;O
frele;I-MISC
maladif;O
navaient;O
voulu;B-MISC
menvoyer;O
lecole;O
Ma;B-PER
mere;O
mavait;O
seulement;O
appris;O
lire;O
ecrire;O
quelques;O
mots;O
despagnol;O
airs;O
guitare;O
laide;I-MISC
desquels;O
fait;O
famille;I-MISC
reputation;O
prodige;O
Grace;B-PER
systeme;O
deducation;O
bougeais;I-MISC
jamais;O
chez;O
pus;O
assister;O
details;O
lagonie;O
Ce;O
spectacle;O
laissa;I-MISC
froidLA;O
FABRIQUE;I-MISC
lavoue;O
trouvai;O
h;O
c6te;O
agreable;O
pouvais;O
gambader;O
guise;O
metait;O
permis;O
dimanche;O
disais;O
gravement;O
  ;O
Maintenant;B-LOC
est;O
donnee;O
jouer;O
Et;O
croyait;O
cet;O
imbecile;O
exemple;O
prit;O
debacle;O
aussi;O
gaiement;O
Tout;O
devint;O
terrible;O
cetait;O
lhabitude;O
nature;O
enflammee;O
violente;O
exageree;O
aimant;O
cris;O
casse;O
tonnerres;O
excellent;O
homme;O
ayant;O
main;O
leste;O
