Texte;Type d'entité
PREMIÈRE;O
PARTIE;I-ORG
"
";O
I;B-LOC
--;O
LA;O
FABRIQUE;B-ORG
Je;O
suis;O
né;O
le;O
13;O
mai;O
18;O
dans;O
une;O
ville;O
du;O
Languedoc;B-LOC
où;O
lon;O
trouve;O
comme;O
toutes;O
les;O
villes;O
Midi;B-LOC
beaucoup;O
de;O
soleil;I-MISC
pas;O
mal;O
poussière;O
un;O
couvent;O
carmélites;B-LOC
et;O
deux;O
ou;O
trois;O
monuments;O
romains;O
Mon;O
père;O
M;O
Eyssette;B-PER
qui;O
faisait;O
à;O
cette;O
époque;O
commerce;O
des;O
foulards;O
avait;O
aux;O
portes;O
la;O
grande;O
fabrique;I-MISC
pan;O
laquelle;O
il;O
sétait;O
taillé;O
habitation;O
commode;O
tout;O
ombragée;O
platanes;O
séparée;O
ateliers;O
par;O
vaste;O
jardin;O
Cest;B-LOC
là;O
que;O
je;O
venu;O
au;O
monde;O
jai;O
passé;O
premières;O
seules;I-MISC
bonnes;O
années;O
ma;O
vie;O
Aussi;O
mémoire;O
reconnaissante;O
a;O
-t;O
-elle;O
gardé;O
impérissable;O
souvenir;O
lorsque;O
ruine;O
mes;O
parents;O
fallu;O
me;I-MISC
séparer;O
ces;O
choses;O
ai;O
positivement;O
regrettées;O
êtres;I-MISC
dois;O
dire;O
pour;O
commencer;O
naissance;I-MISC
ne;O
porta;O
bonheur;O
maison;O
La;B-MISC
vieille;O
Annou;B-LOC
notre;O
cuisinière;O
souvent;O
conté;O
depuis;O
quoi;O
mon;O
en;O
voyage;O
ce;O
moment;O
reçut;O
même;O
temps;O
nouvelle;O
apparition;O
celle;O
disparition;O
dun;O
ses;O
clients;O
Marseille;B-LOC
lui;O
emportait;O
plus;O
quarante;O
mille;O
francs;O
 ;O
si;O
bien;O
heureux;O
désolé;O
coup;O
se;O
demandait;O
lautre;O
sil;O
devait;O
pleurer;O
client;O
rire;O
lheureuse;O
arrivée;O
Petit;B-MISC
Daniel;B-PER
Il;O
fallait;O
bon;O
monsieur;I-MISC
doublement;O
vérité;O
fus;O
mauvaise;O
étoile;O
Du;I-MISC
jour;O
dincroyables;I-MISC
malheurs;O
assaillirent;O
vingt;O
endroits;O
Dabord;B-LOC
nous;O
eûmes;O
donc;O
puis;O
fois;O
feu;O
année;O
grève;O
ourdisseuses;O
brouille;O
avec;O
loncle;O
Baptiste;B-PER
procès;O
très;O
coûteux;O
nos;O
marchands;O
couleurs;O
enfin;O
révolution;O
donna;O
grâce;O
À;O
partir;O
battit;O
dune;O
aile;O
petit;O
vidèrent;O
chaque;O
semaine;O
métier;O
bas;O
mois;O
table;O
dimpression;O
moins;O
Cétait;B-MISC
pitié;O
voir;O
sen;O
aller;O
corps;O
malade;O
lentement;O
tous;O
jours;O
peu;O
Une;O
on;O
nentra;I-MISC
salles;O
second;O
autre;O
cour;O
fond;O
fut;O
condamnée;O
Cela;O
dura;O
ainsi;O
pendant;O
ans;O
agonisa;O
Enfin;O
ouvriers;O
vinrent;O
cloche;O
sonna;O
puits;O
roue;O
cessa;O
grincer;O
leau;O
grands;O
bassins;O
lesquels;O
lavait;O
tissus;O
demeura;O
immobile;I-MISC
bientôt;O
toute;O
resta;O
Mme;B-PER
frère;O
Jacques;B-PER
moi;O
-;O
garder;O
concierge;O
Colombe;B-LOC
son;O
fils;O
Rouget;B-PER
fini;O
étions;O
ruinés;O
Javais;I-MISC
alors;O
six;O
sept;O
Comme;O
jétais;I-MISC
frêle;O
maladif;O
navaient;O
voulu;O
menvoyer;O
lécole;O
Ma;B-MISC
mère;O
mavait;O
seulement;O
appris;O
lire;O
écrire;O
quelques;O
mots;O
despagnol;O
airs;O
guitare;O
laide;I-MISC
desquels;O
fait;O
famille;O
réputation;O
prodige;O
Grâce;O
système;O
déducation;O
bougeais;O
jamais;O
chez;O
pus;O
assister;O
détails;O
lagonie;O
Ce;O
spectacle;O
laissa;I-MISC
froid;O
lavoue;O
trouvai;O
côté;O
agréable;O
pouvais;O
gambader;O
guise;O
métait;O
permis;O
dimanche;O
disais;I-MISC
gravement;O
" 
 ";O
Maintenant;I-PER
est;O
donnée;O
jouer;O
Et;O
croyait;O
cet;O
imbécile;O
exemple;O
prit;O
débâcle;O
aussi;I-MISC
gaiement;O
Tout;O
devint;O
terrible;O
cétait;O
lhabitude;O
nature;I-MISC
enflammée;O
violente;O
exagérée;O
aimant;O
cris;O
casse;O
tonnerres;O
excellent;O
homme;O
ayant;O
main;O
leste;O
verbe;O
haut;O
limpérieux;O
besoin;O
donner;O
tremblement;O
lentourait;O
fortune;O
lieu;O
labattre;O
lexaspéra;O
soir;O
matin;I-MISC
colère;O
formidable;O
sachant;O
prendre;O
sattaquait;O
mistral;O
Révolution;B-MISC
oh;O
surtout;O
entendre;O
vous;O
auriez;I-MISC
juré;O
mis;I-MISC
était;O
spécialement;O
dirigée;O
contre;O
prie;O
croire;O
révolutionnaires;O
nétaient;O
odeur;O
sainteté;O
Dieu;B-MISC
sait;O
avons;O
dit;O
messieurs;O
Encore;O
aujourdhui;O
quand;O
vieux;O
papa;I-MISC
(;O
conserve;O
);O
sent;O
venir;O
accès;I-MISC
goutte;O
sétend;O
péniblement;O
sur;O
sa;O
chaise;O
longue;O
lentendons;O
  ;O
Oh;B-MISC
lépoque;B-PER
dont;O
parle;O
navait;O
douleur;O
ruiné;O
personne;O
pouvait;O
approcher;O
fallut;O
saigner;O
quinze;O
Autour;B-MISC
chacun;O
taisait;O
peur;O
demandions;O
pain;I-MISC
voix;O
basse;O
On;B-MISC
nosait;I-MISC
devant;O
dès;O
quil;O
tourné;O
talons;O
nétait;O
quun;O
sanglot;I-MISC
bout;O
grand;O
labbé;O
lorsquil;B-PER
venait;O
sy;O
mettait;O
cela;O
conçoit;O
pleurait;O
malheureux;O
pleuraient;O
quant;O
trop;O
jeune;O
encore;O
comprendre;O
peine;O
plaisir;I-MISC
Un;B-MISC
singulier;O
enfant;O
voilà;O
don;O
larmes;O
Daussi;O
loin;O
souvienne;O
vois;I-MISC
yeux;O
rouges;O
joue;O
ruisselante;O
Le;B-MISC
nuit;O
classe;O
promenade;O
sans;O
cesse;O
partout;O
Quand;B-MISC
disait;O
" 
";O
Quas;B-MISC
tu;O
répondait;O
sanglotant;O
nai;I-MISC
rien;O
curieux;I-MISC
cest;O
mouche;O
Quelquefois;O
exaspéré;O
Cet;O
ridicule;O
regardez;B-LOC
fleuve;O
douce;O
Que;O
veux;O
ami;I-MISC
passera;O
grandissant;O
âge;O
En;O
attendant;O
grandissait;O
passait;O
contraire;I-MISC
singulière;O
aptitude;O
quavait;O
étrange;O
garçon;O
répandre;O
raison;O
averses;O
allait;I-MISC
augmentant;O
désolation;O
sangloter;O
aise;O
journées;O
entières;O
vînt;O
somme;I-MISC
joli;O
Pour;O
part;O
soccupait;O
Jen;B-MISC
profitais;O
parmi;O
déserts;O
sonnaient;O
église;O
grandes;O
cours;I-MISC
abandonnées;O
lherbe;O
envahissait;O
déjà;O
gros;O
douzaine;O
dannées;O
fort;O
bœuf;O
dévoué;O
chien;O
bête;O
oie;O
remarquable;O
chevelure;O
rouge;O
surnom;O
Seulement;B-PER
vais;O
tour;O
fidèle;O
Vendredi;B-PER
tribu;O
sauvages;O
équipage;O
révolté;O
quon;O
voulait;O
Moi;B-MISC
-là;O
mappelais;O
vêtu;O
peaux;O
bêtes;O
aventures;O
master;O
Crusoe;B-PER
lui-même;O
Douce;B-PER
folie;O
après;O
souper;O
relisais;O
Robinson;B-MISC
lapprenais;O
cœur;O
jouais;O
rage;O
mentourait;O
lenrôlais;O
comédie;O
île;O
déserte;O
Les;B-MISC
jouaient;O
rôle;O
dOcéan;B-MISC
forêt;O
vierge;O
y;O
tas;O
cigales;O
étaient;O
pièce;O
savaient;O
non;O
doutait;O
guère;O
limportance;O
Si;O
demandé;O
laurait;O
embarrassé;O
pourtant;O
tenait;O
emploi;O
conviction;I-MISC
imiter;O
rugissement;O
ny;O
Où;B-MISC
-il;O
lignore;O
Toujours;O
rugissements;O
sauvage;O
chercher;O
gorge;O
