Texte;Type d'entité
LA;O
FABRIQUE;B-MISC
"

";O
Je;O
suis;I-MISC
né;O
le;O
13;O
mai;O
18;O
dans;O
une;O
ville;O
du;O
Languedoc;B-LOC
où;O
lon;O
1;O
"
";O
trouve;O
comme;O
toutes;O
les;O
villes;O
Midi;B-LOC
beaucoup;O
de;O
soleil;I-MISC
pas;O
mal;O
poussière;O
un;O
couvent;O
Carmélites;B-LOC
et;O
deux;O
ou;O
trois;O
monuments;O
romains;O
Mon;B-MISC
père;O
M;I-MISC
Eyssette;I-PER
qui;O
faisait;O
à;O
cette;O
époque;O
commerce;O
des;O
foulards;O
avait;O
aux;O
portes;O
la;O
grande;O
fabrique;O
pan;O
laquelle;O
il;O
sétait;O
taillé;O
habitation;O
commode;O
tout;O
ombragée;O
platanes;O
séparée;O
ateliers;O
par;O
vaste;O
jardin;O
Cest;B-LOC
là;O
que;O
je;O
venu;O
au;O
monde;O
jai;O
passé;O
premières;O
seules;O
bonnes;O
années;O
ma;O
vie;O
Aussi;O
mémoire;O
reconnaissante;O
a;O
-t;O
-elle;O
gardé;O
impérissable;O
souvenir;O
lorsquà;O
ruine;O
mes;O
parents;O
fallu;O
me;I-MISC
séparer;O
ces;O
choses;O
ai;O
positivement;O
regrettées;O
êtres;I-MISC
Source;B-MISC
gallicabnffr;I-MISC
/;O
Bibliothèque;B-ORG
nationale;I-ORG
France;I-MISC
"

";O
4;O
LE;O
PETIT;O
CHOSE;B-ORG
ro;O
"

 

";O
PE;I-MISC
"

 

 

 

";O
US;I-ORG
dois;O
dire;O
pour;O
commencer;O
naissance;I-MISC
ne;O
porta;O
bonheur;O
maison;O
La;B-MISC
vieille;O
Annou;B-LOC
notre;O
cuisinière;O
souvent;O
conté;I-MISC
depuis;O
quoi;O
mon;B-MISC
en;O
voyage;O
ce;O
moment;O
reçut;O
même;O
temps;O
nouvelle;O
apparition;O
celle;O
disparition;O
dun;O
ses;O
clients;O
Marseille;B-LOC
lui;O
emportait;O
plus;O
quarante;O
mille;I-MISC
francs;O
 ;O
si;O
bien;O
heureux;O
désolé;O
coup;O
se;O
demandait;O
lautre;O
sil;O
devait;O
pleurer;O
client;O
rire;O
lheureuse;O
arrivée;O
petit;O
Daniel;B-PER
Il;O
fallait;O
bon;O
monsieur;I-MISC
doublement;O
vérité;O
fus;O
mauvaise;O
étoile;O
Du;I-MISC
jour;O
dincroyables;I-MISC
malheurs;O
assaillirent;O
vingt;O
endroits;O
Dabord;B-LOC
nous;O
eûmes;O
donc;O
puis;O
fois;O
feu;O
année;O
grève;O
ourdisseuses;O
brouille;O
avec;O
loncle;O
Baptiste;B-PER
procès;O
très;O
coûteux;O
nos;O
marchands;O
couleurs;O
enfin;O
Révolution;B-MISC
donna;O
grâce;O
À;O
partir;O
battit;O
dune;O
aile;O
vidèrent;O
chaque;O
semaine;O
métier;O
bas;O
mois;O
table;O
dimpression;O
moins;O
Cétait;B-MISC
pitié;O
voir;O
sen;O
aller;O
corps;O
malade;O
lentement;O
tous;O
jours;O
peu;O
Une;O
on;O
nentra;I-MISC
salles;O
second;O
autre;O
cour;O
fond;O
fut;O
condamnée;O
Cela;O
dura;O
ainsi;O
pendant;O
ans;O
agonisa;O
Enfin;O
ouvriers;O
vinrent;O
cloche;O
sonna;O
puits;O
roue;O
cessa;O
grincer;O
leau;O
grands;O
bassins;O
lesquels;O
lavait;O
tissus;O
demeura;O
immobile;I-MISC
bientôt;O
toute;O
resta;O
Mme;B-PER
frère;O
Jacques;B-PER
moi;O
-;O
garder;O
concierge;O
Colombe;B-LOC
son;O
fils;O
Rouget;B-PER
fini;O
étions;O
ruinés;O
Javais;B-PER
alors;O
six;O
sept;O
Comme;O
jétais;I-ORG
frêle;O
maladif;O
navaient;O
voulu;O
menvoyer;O
lécole;O
Ma;B-MISC
mère;O
mavait;O
seulement;O
appris;O
lire;O
écrire;O
quelques;O
mots;O
despagnol;O
airs;O
guitare;O
laide;I-MISC
desquels;O
fait;O
famille;I-MISC
réputation;O
prodige;O
Grâce;O
système;O
déducation;O
bougeais;I-MISC
jamais;O
chez;O
pus;O
assister;O
détails;O
lagonie;O
Ce;O
spectacle;O
laissa;I-MISC
froid;O
"

 

";O
PA;O
fesse;O
RD;O
BR;O
5;O
LL;O
ot;O
do;O
LS;B-ORG
SSL;O
Sd;O
dd;O
TS;B-ORG
lavoue;O
trouvai;O
côté;O
agréable;O
pouvais;O
gambader;O
guise;O
métait;O
permis;O
dimanche;O
disais;I-MISC
gravement;O
  ;O
Maintenant;I-PER
est;O
donnée;O
jouer;O
Et;O
croyait;O
cet;O
imbécile;O
A;B-LOC
exemple;O
prit;O
débâcle;O
aussi;I-MISC
gaiement;O
Tout;O
devint;O
terrible;O
cétait;O
lhabitude;O
nature;O
enflammée;O
violente;O
exagérée;O
aimant;O
cris;O
casse;O
tonnerres;O
excellent;O
homme;O
ayant;O
main;O
leste;O
verbe;O
haut;O
limpérieux;O
besoin;O
donner;O
tremblement;O
lentourait;O
fortune;O
lieu;O
labattre;O
lexaspéra;O
soir;O
matin;I-MISC
colère;O
formidable;O
sachant;O
prendre;O
sattaquait;O
mistral;O
oh;O
surtout;O
entendre;O
vous;O
auriez;I-MISC
juré;O
Révo-;B-PER
lution;O
mis;I-MISC
était;O
spécialement;O
dirigée;O
contre;O
prie;O
croire;O
révolutionnaires;O
nétaient;O
odeur;O
sainteté;O
Dieu;I-MISC
sait;O
avons;O
dit;O
messieurs;O
-là;O
Encore;O
aujourdhui;O
quand;O
vieux;O
papa;O
(;O
conserve;O
);O
sent;O
venir;O
accès;I-MISC
goutte;O
sétend;O
péniblement;O
sur;O
sa;O
chaise;O
longue;O
lentendons;O
Oh;B-MISC
lépoque;B-PER
dont;O
parle;O
navait;O
douleur;O
ruiné;O
personne;O
pouvait;O
approcher;O
fallut;I-MISC
saigner;O
quinze;O
Autour;B-LOC
chacun;O
taisait;O
peur;O
demandions;O
pain;I-MISC
voix;O
basse;O
On;B-MISC
nosait;I-MISC
devant;O
dès;O
quil;O
tourné;O
talons;O
nétait;O
quun;O
sanglot;I-MISC
bout;O
grand;O
labbé;O
lorsquil;B-PER
venait;O
sy;O
mettait;O
cela;O
conçoit;O
pleurait;O
malheureux;O
pleuraient;O
quant;O
trop;O
jeune;O
encore;O
comprendre;O
—;O
peine;O
plaisir;I-MISC
Un;B-MISC
