Texte;Type d'entité
Partie;B-MISC
1;I-ORG
"
";O
Chapitre;B-MISC
Le;B-MISC
15;O
septembre;O
1840;O
vers;O
six;O
heures;I-MISC
du;O
matin;O
la;O
Ville-de-Montereau;B-LOC
près;O
de;O
partir;O
fumait;O
à;O
gros;O
tourbillons;O
devant;O
le;O
quai;O
Saint-Bernard;B-LOC
Des;O
gens;O
arrivaient;O
hors;O
dhaleine;O
 ;O
des;O
barriques;O
câbles;I-MISC
corbeilles;O
linge;O
gênaient;O
circulation;O
les;O
matelots;O
ne;O
répondaient;O
personne;O
on;O
se;O
heurtait;O
colis;O
montaient;O
entre;O
deux;O
tambours;O
et;O
tapage;O
sabsorbait;O
dans;O
bruissement;O
vapeur;O
qui;O
séchappant;O
par;O
plaques;O
tôle;O
enveloppait;O
tout;O
dune;O
nuée;O
blanchâtre;O
tandis;O
que;O
cloche;O
lavant;O
tintait;O
sans;O
discontinuer;O
Enfin;O
navire;O
partit;O
berges;O
peuplées;O
magasins;O
chantiers;O
dusines;I-MISC
filèrent;O
comme;O
larges;O
rubans;O
lon;B-PER
déroule;O
Un;B-MISC
jeune;O
homme;O
dix-huit;O
ans;O
longs;O
cheveux;O
tenait;O
un;O
album;O
sous;O
son;O
bras;O
restait;O
auprès;O
gouvernail;O
immobile;I-MISC
A;B-MISC
travers;O
brouillard;O
il;O
contemplait;O
clochers;O
édifices;O
dont;O
savait;O
pas;O
noms;O
puis;O
embrassa;O
dernier;O
coup;O
dœil;O
lîle;O
Saint-Louis;B-LOC
Cité;O
Notre-Dame;B-LOC
bientôt;O
Paris;B-LOC
disparaissant;O
poussa;O
grand;O
soupir;O
M;B-PER
Frédéric;B-PER
Moreau;I-PER
nouvellement;O
reçu;O
bachelier;O
sen;B-PER
retournait;O
Nogent-sur-Seine;B-LOC
où;O
devait;O
languir;O
pendant;O
mois;O
avant;O
daller;O
faire;O
droit;O
Sa;O
mère;O
avec;O
somme;O
indispensable;O
lavait;O
envoyé;O
au;O
Havre;I-MISC
voir;O
oncle;O
elle;O
espérait;O
pour;O
lui;O
lhéritage;O
en;O
était;O
revenu;O
veille;O
seulement;O
dédommageait;O
pouvoir;O
séjourner;O
capitale;O
regagnant;O
sa;O
province;O
route;O
plus;O
longue;O
tumulte;O
sapaisait;O
tous;O
avaient;O
pris;O
leur;O
place;O
quelques-uns;O
debout;O
chauffaient;O
autour;O
machine;O
cheminée;O
crachait;O
râle;O
lent;O
rythmique;O
panache;O
fumée;O
noire;O
gouttelettes;O
rosée;O
coulaient;O
sur;O
cuivres;O
pont;O
tremblait;O
une;O
petite;O
vibration;O
intérieure;I-MISC
roues;O
tournant;O
rapidement;O
battaient;O
leau;O
La;O
rivière;O
bordée;O
grèves;O
sable;I-MISC
On;O
rencontrait;O
trains;O
bois;O
mettaient;O
onduler;O
remous;I-MISC
vagues;O
ou;O
bien;O
bateau;O
voiles;O
assis;O
pêchait;O
brumes;O
errantes;O
fondirent;O
soleil;O
parut;O
colline;O
suivait;O
droite;O
cours;O
Seine;I-LOC
peu;O
sabaissa;O
surgit;O
autre;I-MISC
proche;O
rive;O
opposée;O
arbres;O
couronnaient;O
parmi;O
maisons;O
basses;O
couvertes;O
toits;O
litalienne;B-LOC
Elles;O
jardins;O
pente;O
divisaient;O
murs;O
neufs;O
grilles;O
fer;O
gazons;O
serres;O
chaudes;O
vases;O
géraniums;O
espacés;O
régulièrement;O
terrasses;O
pouvait;O
saccouder;O
Plus;O
dun;O
apercevant;O
ces;O
coquettes;O
résidences;O
si;O
tranquilles;O
enviait;O
den;B-PER
être;O
propriétaire;O
vivre;O
là;O
jusquà;O
fin;O
ses;O
jours;O
bon;O
billard;O
chaloupe;O
femme;O
quelque;O
rêve;O
plaisir;O
nouveau;O
excursion;I-MISC
maritime;O
facilitait;O
épanchements;O
Déjà;O
farceurs;O
commençaient;O
leurs;O
plaisanteries;O
Beaucoup;O
chantaient;O
gai;O
Il;I-MISC
versait;I-MISC
petits;O
