Texte;Type d'entité
UNE;O
IE;O
"
";O
toujours;O
prete;O
 ;O
saisir;O
tous;O
les;O
bonheurs;O
de;O
la;O
vie;O
dont;O
elle;O
revait;O
depuis;O
si;O
longtemps;O
craignait;O
que;O
son;O
pere;O
hesitat;O
partir;O
le;O
temps;I-MISC
ne;O
seclaircissait;O
pas;O
et;O
pour;O
centieme;O
fois;O
matin;I-MISC
interrogeait;O
lhorizon;O
Puis;O
sapercut;B-PER
quelle;O
avait;O
oublie;O
mettre;O
calendrier;O
dans;O
sac;O
voyage;O
Elle;O
cueillit;O
sur;O
mur;O
petit;O
carton;O
divise;O
par;O
mois;O
portant;O
au;O
milieu;O
dun;O
dessin;O
date;O
lannee;B-PER
courante;O
181;O
en;O
chiffres;O
dor;O
biffa;B-ORG
a;O
coups;O
crayon;O
quatre;O
premieres;O
colonnes;O
rayant;O
cha-;O
nom;O
saint;B-PER
jusquau;O
2;I-MISC
mai;O
jour;O
sa;O
sortie;O
eeeeeeee;O
Jeanne;B-PER
repondit;O
  ;O
Entre;B-MISC
papa;O
n;O
Et;O
parut;O
Le;B-MISC
baron;O
Simon;B-PER
-;O
lacques;I-PER
Perthuis;I-LOC
des;O
Vauds;I-PER
etait;O
un;O
gentilhomme;O
lautre;O
siecle;O
maniaque;O
bon;O
Disciple;B-PER
enthousiaste;O
J;B-MISC
Rousseau;O
il;O
tendresses;O
damant;O
nature;O
champs;O
bois;O
betes;O
Aristocrate;B-LOC
naissance;O
haissait;O
instinet;O
uatre;O
vingt;O
treize;I-MISC
mais;O
philosophe;O
tempera-;O
ment;O
liberal;O
education;O
exeerait;O
tyrannie;O
dune;I-MISC
haine;O
inofflensive;O
d6clamatoire;O
grande;O
force;O
faiblesse;O
oetait;O
bonte;O
une;O
qui;O
navait;O
assez;O
dehras;O
caresser;O
donner;O
etreindre;O
bont6;O
Ceateur;B-PER
eparse;O
sans;O
resistance;O
comme;O
lengourUNE;B-MISC
V1E;B-MISC
dissement;O
nerf;O
volonte;B-PER
lacune;O
lenergie;O
presue;O
vice;O
Homme;O
theorie;O
meditait;O
tout;O
plan;O
dedu-;O
cation;O
fille;O
voulant;O
faire;O
heureuse;O
bonne;O
droite;O
tendre;O
demeuree;O
jusqu;O
douze;O
ans;O
maison;O
puis;O
malgre;O
pleurs;O
mere;O
fut;O
mise;O
fSacre;B-MISC
Ceur;I-MISC
Il;O
lavait;O
tenue;O
severement;O
enfermee;O
cloltree;O
ignoree;O
ignorante;O
choses;O
humaines;O
vou-;O
lait;O
quon;O
lui;O
rendlt;I-MISC
chaste;I-MISC
dix-sept;O
tremper;O
meme;I-MISC
sorte;O
bain;O
poesie;O
raisonnable;O
terre;O
fecondee;O
ouvrir;O
ame;O
degourdir;O
igno-;O
rance;O
laspect;O
lamour;O
naif;O
simples;O
animaux;O
lois;O
sereines;O
sortaitmaintenant;O
ducouvent;O
radieuse;O
pleine;O
seves;O
dappetits;O
bonheur;O
toutes;O
joies;O
atous;O
leshasards;O
charmants;O
dansle;O
d6seu-;O
vrement;O
jours;O
longueur;O
nuits;O
soli-;I-MISC
tude;O
desesperances;O
esprit;O
dejh;O
parcourus;O
semblait;O
portrait;O
Veronese;B-PER
avee;O
ses;O
cheveux;O
blond;O
luisant;O
aurait;O
dit;O
avoir;O
deteint;O
chair;O
daristocrate;O
peine;O
nuaneee;O
rose;O
ombree;O
leger;O
duvet;O
velours;O
ple;O
apercevait;O
peu;O
quand;O
leoleil;O
caressait;O
Ses;O
yeux;O
etaient;O
bleus;O
dece;B-PER
bleuopaue;I-MISC
quont;O
ceux;O
bonshommes;O
faience;O
e;O
kollandeU;O
NE;O
VIE;O
laile;O
gauche;O
narine;O
grain;O
beaute;O
autre;O
h;I-MISC
men-;O
ton;O
o;O
frisaient;O
quelques;O
poils;O
semblables;O
peau;O
distinguait;O
mre;I-MISC
poitrine;O
ondoyante;O
taille;O
Sa;O
voix;O
nette;O
parfois;O
trop;O
aiguii;O
rire;O
franc;O
jetait;O
joie;O
autour;O
dle;O
Sou-;B-MISC
vent;O
geste;O
familier;O
portait;O
deux;O
mains;O
tempes;O
lisser;O
chevelure;O
courut;O
lembrassa;B-PER
letrei-;O
gnant;O
Eh;O
bien;O
partons;O
-nous;O
-elle;O
sourit;I-MISC
secoua;O
deja;O
blancs;O
qiil;O
longs;O
tendant;O
main;O
vers;O
fenetre;O
"
 ";O
Comment;I-MISC
veux;I-MISC
tu;I-MISC
voyager;O
pa-;O
reil2s;O
Mais;O
priait;O
caline;O
Oh;B-MISC
pape;O
je;O
ten;I-MISC
supplie;O
fera;O
beau;O
apres-;O
midi;O
--;O
ta;O
ny;O
consentira;O
jamais;O
Si;B-MISC
te;O
promets;I-MISC
men;O
charge;O
--Si;O
parviens;O
decider;O
moi;O
se;O
precipita;O
chambre;O
labaronne;O
Car;B-ORG
attendu;O
ce;O
du;O
d6part;O
avec;O
impatienee;O
grandissante;O
Depuis;O
entree;O
Sacre;B-MISC
Coeurelle;I-MISC
quitt6;O
Rouen;B-LOC
permettant;O
aucuhe;O
dis-;O
traction;O
avant;O
lage;O
quil;O
fixe;O
Deux;O
seuU;B-MISC
N1E;I-MISC
lement;O
on;O
emmenee;O
quinze;O
Paris;B-LOC
cetait;O
ville;O
encore;O
camagne;O
allait;O
maintenant;O
passer;O
lete;O
leur;O
pro-;O
priete;B-PER
Peuples;B-PER
vieux;O
chatean;O
famille;O
plante;O
falaise;O
aupres;O
dYport;B-MISC
promettait;O
infinie;O
cette;O
libre;O
bord;O
flots;O
entendu;O
faisait;O
don;O
ma-;O
noir;O
habiterait;O
lorsquelle;O
serait;O
mariee;O
pluie;O
tombant;O
repit;O
veille;O
BOir;B-LOC
premier;O
gros;O
chagrin;O
existence;O
bout;O
trois;O
minutes;O
sortit;O
ourant;O
criant;O
toute;O
lmaison;O
Papa;B-ORG
l;I-MISC
maman;O
veut;O
fais;O
atteler;O
deluge;O
sapaisait;O
point;O
qtlil;B-LOC
redoublait;O
caleche;I-MISC
savanca;O
devant;O
laporte;O
monter;O
voiture;O
lorsque;O
baronne;O
descendit;O
lescalier;O
soutenue;O
c0te;O
mari;O
forte;I-MISC
decouplee;O
gars;O
Getait;B-PER
Normande;B-LOC
pays;O
Caux;I-LOC
parais-;O
sait;O
moins;O
eut;O
plus;I-MISC
ix;O
huit;O
On;O
latraitait;O
seeonde;O
car;O
ete;O
seur;O
sappelait;O
Rosalie;I-MISC
Ba;I-PER
principale;O
fonction;O
consistaitdailleurs;O
guiderUNE;B-PER
vIE;O
maitresse;O
devenue;O
enorme;O
annees;O
suite;O
hypertrophie;O
ceur;O
plaignait;O
cesse;O
La;O
atteignit;O
soufflant;O
beaucoup;O
perron;O
vieil;O
hotel;O
regarda;O
cour;O
leau;O
ruis-;O
selait;O
murmura;O
Ce;O
nest;O
vraiment;I-MISC
raison-;O
nable;O
Son;O
souriant;O
Cestvous;B-MISC
lavez;I-MISC
voulu;O
madame;O
Adelaide;B-PER
Comme;O
pompeux;O
dAdelaide;B-MISC
preceder;O
certain;O
air;O
respect;O
moqueur;O
remit;O
marche;O
monta;O
penible-;O
ressorts;O
plierent;O
sassit;O
prirent;O
place;O
banquette;O
reculons;O
cuisiniere;O
Ludivine;B-PER
apporta;O
masses;O
manteaux;O
disposa;O
genoux;O
paniers;O
dissimula;O
sous;O
jambes;O
elle-;O
grimpa;O
siege;B-LOC
senve-;O
loppa;O
couverturequi;O
coiffait;O
entie--;O
rement;O
concierge;O
femme;I-MISC
vinrent;I-MISC
saluer;O
fermantla;O
portiere;O
ils;O
recurent;O
dernieres;O
recom-;O
mandations;O
malles;O
devaient;O
suivre;O
charrette;O
partit;O
cocher;O
tete;O
baissee;O
dos;O
arrondi;O
disparaissait;O
carrick;O
triple;O
collet;O
bourrasque;O
gemissante;I-MISC
battait;O
vitres;O
inondait;O
chausseeUNE;B-MISC
berline;O
grand;O
trot;O
chevaux;O
devala;O
rondement;O
quai;O
longea;O
ligne;O
grands;O
navires;O
mts;O
vergues;O
cor-;O
dages;O
dressaient;O
tristement;O
ciel;O
ruisse-;O
lant;O
arbres;O
depouilles;O
sen-;O
gagea;O
long;O
boulevard;O
mont;O
Riboudet;I-LOC
Bient0;B-MISC
t;O
traversa;O
prairies;O
saule;O
noye;O
branches;O
pendantes;O
abandonnement;O
cadavre;O
dessinait;O
vague-;O
travers;O
brouillard;O
deau;O
Les;O
fers;O
clapotaient;O
roues;O
faisaient;O
soleils;O
boue;O
taisait;O
esprits;O
eux;O
memes;O
