Texte;Type d'entité
I;B-LOC
"
";O
Jeanne;B-PER
ayant;O
fini;O
ses;O
malles;O
sapprocha;O
de;O
la;O
fenêtre;O
mais;O
pluie;O
ne;O
cessait;O
pas;O
Laverse;B-LOC
toute;O
nuit;O
avait;O
sonné;O
contre;O
les;O
carreaux;O
et;O
toits;O
Le;B-LOC
ciel;O
bas;O
chargé;O
deau;O
semblait;O
crevé;O
se;O
vidant;O
sur;O
terre;O
délayant;O
en;O
bouillie;O
fondant;O
comme;O
du;O
sucre;O
Des;O
rafales;O
passaient;O
pleines;O
dune;O
chaleur;O
lourde;O
ronflement;O
des;O
ruisseaux;O
débordés;I-MISC
emplissait;O
rues;O
désertes;O
où;O
maisons;O
éponges;O
buvaient;O
lhumidité;O
qui;O
pénétrait;O
au;O
-;O
dedans;O
faisait;O
suer;O
murs;O
cave;O
grenier;O
sortie;O
veille;O
couvent;O
libre;O
enfin;O
pour;O
toujours;O
prête;O
à;O
saisir;O
tous;O
bonheurs;O
vie;I-MISC
dont;O
elle;O
rêvait;O
depuis;O
si;O
longtemps;O
craignait;O
que;O
son;O
père;O
hésitât;B-PER
partir;O
le;O
temps;O
séclaircissait;O
centième;O
fois;O
matin;I-MISC
interrogeait;O
lhorizon;O
Puis;O
saperçut;I-MISC
quelle;O
oublié;O
mettre;O
calendrier;O
dans;O
sac;O
voyage;O
Elle;O
cueillit;O
mur;O
petit;O
carton;O
divisé;O
par;O
mois;O
portant;O
milieu;O
dun;O
dessin;O
date;O
lannée;O
courante;O
1819;O
chiffres;O
dor;O
biffa;O
coups;O
crayon;O
quatre;O
premières;O
colonnes;O
rayant;O
chaque;O
nom;O
saint;B-PER
jusquau;O
2;O
mai;O
jour;O
sa;O
Une;B-MISC
voix;I-MISC
derrière;I-MISC
porte;O
appela;O
  ;O
Jeannette;B-PER
"  
";O
répondit;O
Entre;O
papa;O
 ;O
Et;O
parut;O
baron;O
Simon;B-PER
Jacques;B-PER
Perthuis;O
Vauds;I-MISC
était;O
un;O
gentilhomme;I-MISC
lautre;O
siècle;O
maniaque;O
bon;O
Disciple;O
enthousiaste;O
J;B-MISC
-J;I-MISC
Rousseau;I-MISC
il;O
tendresses;O
damant;O
nature;O
champs;O
bois;O
bêtes;O
Aristocrate;B-PER
naissance;O
haïssait;O
instinct;O
quatre-vingt-treize;O
philosophe;O
tempérament;O
libéral;O
éducation;O
exécrait;O
tyrannie;O
haine;O
inoffensive;O
déclamatoire;O
Sa;O
grande;O
force;O
faiblesse;O
cétait;O
bonté;O
une;O
navait;O
assez;O
bras;O
caresser;O
donner;O
étreindre;O
créateur;O
éparse;O
sans;O
résistance;O
lengourdissement;O
nerf;O
volonté;O
lacune;O
lénergie;O
presque;O
vice;O
Homme;O
théorie;O
méditait;O
tout;O
plan;O
déducation;O
fille;O
voulant;O
faire;O
heureuse;O
bonne;O
droite;O
tendre;O
demeurée;O
jusquà;O
douze;O
ans;O
maison;O
puis;O
malgré;O
pleurs;O
mère;O
fut;O
mise;O
Sacré;B-LOC
Cœur;I-LOC
Il;O
lavait;O
tenue;O
là;O
sévèrement;O
enfermée;I-MISC
cloîtrée;O
ignorée;O
ignorante;O
choses;I-MISC
humaines;O
voulait;O
quon;O
lui;O
rendît;O
chaste;I-MISC
dix-sept;O
tremper;O
lui-même;O
sorte;O
bain;O
poésie;O
raisonnable;O
fécondée;O
ouvrir;O
âme;O
dégourdir;O
ignorance;O
laspect;O
lamour;O
naïf;O
simples;O
animaux;O
lois;O
sereines;O
sortait;O
maintenant;O
radieuse;O
pleine;O
