Texte;Type d'entité
UNE;O
VIE;O
"

";O
sa;O
"

 

";O
2;O
toujours;O
prête;O
à;O
saisir;O
tous;O
les;O
bonheurs;O
de;O
la;O
vie;I-MISC
"
";O
dont;O
elle;O
rêvait;O
depuis;O
si;O
longtemps;O
craignait;O
que;O
son;O
père;O
hésitât;B-PER
partir;O
le;O
temps;I-MISC
ne;O
séclaircissait;O
pas;O
et;O
pour;O
centième;O
fois;O
matin;I-MISC
interrogeait;O
lhorizon;O
Puis;O
saperçut;I-MISC
quelle;O
avait;O
oublié;O
mettre;O
calendrier;O
dans;O
sac;O
voyage;O
Elle;B-MISC
cueillit;O
sur;O
mur;O
petit;I-MISC
carton;O
divisé;O
par;O
mois;O
portant;O
au;O
milieu;O
dun;O
dessin;O
date;O
lannée;O
courante;O
1819;O
en;O
chiffres;O
dor;O
biffa;O
coups;O
crayon;O
quatre;O
premières;O
colonnes;O
rayant;O
cha-;O
nom;O
saint;B-PER
jusquau;O
mai;O
jour;O
sortie;O
du;I-MISC
couvent;O
Une;O
voix;I-MISC
derrière;I-MISC
porte;O
appela;O
 ;O
Jeannette;B-PER
" 

";I-ORG
Jeanne;B-PER
répondit;O
  ;O
Entre;O
papa;O
Et;O
parut;O
Le;O
baron;O
Simon;B-PER
-;O
Jacques;B-PER
Perthuis;I-PER
des;O
Vauds;I-MISC
était;O
un;O
gentilhomme;O
lautre;O
siècle;O
maniaque;O
bon;O
Disciple;B-PER
enthousiaste;O
J;B-MISC
Rousseau;O
il;O
tendresses;O
damant;O
nature;O
champs;O
bois;O
bêtes;O
|;O
_;O
Aristocrate;B-LOC
naissance;O
haïssait;O
instinct;O
€;O
quatre-vingt-treize;O
mais;O
philosophe;O
tempéra-;O
ment;O
libéral;O
éducation;O
exécrait;O
I;B-LOC
tyrannie;O
dune;O
haine;O
inoffensive;O
déclamatoire;O
Meet;B-MISC
"

 ";O
Sa;O
grande;O
force;O
faiblesse;O
e;I-MISC
h;O
bonté;O
une;O
qui;O
navait;O
assez;O
bras;O
caresser;O
donner;O
étreindre;O
créateur;O
éparse;O
sans;O
résistance;O
comme;O
lengour-;O
"

  

";O
VIFe;B-MISC
3;O
dissement;O
nerf;O
volonté;O
lacune;O
lénergie;O
presque;O
vice;O
Homme;O
théorie;O
méditait;O
tout;O
plan;O
dédu-;O
cation;O
fille;O
voulant;O
faire;O
heureuse;O
bonne;O
droite;O
tendre;O
demeurée;O
jusquà;O
douze;O
ans;O
maison;O
puis;O
malgré;O
pleurs;O
mère;O
fut;O
mise;O
Sacré;B-LOC
Cœur;I-LOC
11;O
lavait;O
tenue;O
là;O
sévèrement;O
enfermée;I-MISC
cloîtrée;O
ignorée;O
ignorante;O
choses;O
humaines;O
Il;O
vou-;O
lait;O
quon;O
lui;O
rendît;I-MISC
chaste;I-MISC
dix-sept;O
tremper;O
lui-même;O
sorte;O
bain;O
poésie;O
raisonnable;O
terre;O
fécondée;O
ouvrir;O
âme;O
dégourdir;O
igno-;O
rance;O
laspect;O
lamour;O
naïf;O
simples;O
animaux;O
lois;O
sereines;O
sortait;O
maintenant;O
ducouvent;O
radieuse;O
pleine;O
sèves;O
dappétits;O
bonheur;O
toutes;O
…;O
joies;O
àtous;O
hasards;O
charmants;O
dansle;O
désœu-;O
Li;B-PER
vrément;O
jours;O
longueur;O
nuits;O
soli-;O
tude;O
espérances;O
esprit;O
déjà;O
parcourus;O
semblait;O
portrait;O
Véronèse;B-PER
avec;O
ses;O
eveux;O
blond;O
luisant;O
aurait;O
dit;O
avoir;O
int;O
chair;O
daristocrate;O
peine;O
ancée;O
rose;O
ombrée;O
léger;O
duvet;O
rte;O
velours;O
pâle;O
apercevait;O
peu;O
quand;O
soleil;I-LOC
caressait;O
Ses;O
yeux;O
étaient;O
bleus;O
dece;O
u;O
opaque;O
quont;O
ceux;O
bonshommes;O
faïence;O
Hollande;B-LOC
LL;O
"

   
   
  
   

 

 

";O
4;O
euNE;O
laile;O
gauche;O
narine;O
grain;O
beauté;O
autre;O
men-;O
ton;O
où;O
frisaient;O
quelques;O
poils;O
semblables;O
peau;O
distinguait;O
mûre;I-MISC
poitrine;O
ondoyante;O
taille;O
nette;O
parfois;I-PER
trop;O
aiguë;O
rire;O
franc;O
jetait;O
joie;O
autour;O
dile;O
Sou-;B-MISC
vent;O
geste;O
familier;O
portait;O
deux;O
mains;O
tempes;O
lisser;O
s;O
&;O
chevelure;O
courut;O
lembrassa;O
létrei-;O
gnant;O
Eh;B-LOC
bien;O
partons;I-MISC
-nous;O
-elle;O
sourit;I-MISC
secoua;O
cheveux;O
blanes;O
quil;O
longs;O
tendant;O
main;O
vers;O
fenêtre;O
PRES;O
Comment;O
veux;I-MISC
tu;I-MISC
voyager;O
+;O
pa;O
"

  

";O
reil;O
RE;B-MISC
Mais;O
priait;I-MISC
câline;O
Oh;B-MISC
je;O
ten;I-MISC
supplie;O
fera;O
beau;O
Yaprès-;B-PER
È;B-LOC
midi;O
pr;O
Tue;B-MISC
oo;O
ta;O
ny;O
consentira;O
jamais;O
LAS;B-ORG
te;O
=;O
—;O
Si;B-MISC
promets;O
men;O
charge;O
" 
";O
Bi;B-MISC
parviens;I-MISC
décider;O
Es;B-MISC
moi;O
HR;I-MISC
ellé;O
$;O
précipità;O
chambre;O
dé;O
baronne;O
"
 ";O
Ex;O
attendu;O
ce;O
départ;O
uñe;O
"

 

 ";O
impatience;O
grandissante;O
©;O
24;O
%;O
tt;O
Depuis;O
entrée;O
r;O
n;O
parait;O
quitté;O
Rouen;B-LOC
permettant;O
aucune;O
dis-;O
traction;O
avant;O
lâge;O
fixé;O
Deux;O
seu;O
D;B-PER
lement;O
on;O
emmenée;O
quinze;I-MISC
Paris;B-LOC
cétait;O
ville;O
encore;O
campagne;O
allait;O
passer;O
lété;I-MISC
leur;O
pro-;O
priété;O
Peuples;B-PER
vieux;O
châtean;I-MISC
famille;O
planté;O
falaise;O
auprès;O
dYport;B-MISC
se;O
promettait;O
jeie;O
infinie;O
cette;O
libre;O
bord;O
flots;O
entendu;O
faisait;O
don;O
ma-;O
noir;O
habiterait;O
toujoürs;B-PER
lorsquelle;O
serait;O
mariée;O
pluie;O
tombant;O
répit;O
veille;O
soir;O
premier;O
gros;O
chagrin;O
existence;I-MISC
bout;O
trois;O
minutes;O
sortit;O
courant;O
criant;O
toute;O
Papa;B-ORG
maman;O
veut;O
fais;O
atteler;O
déluge;O
sapaisait;O
point;O
eût;O
même;I-MISC
1;O
redoublait;O
calèche;O
savanca;O
devant;O
ee;O
5Jeanne;O
monter;O
voiture;O
lorsque;O
descendit;O
lescalier;O
soutenue;O
côté;O
mari;O
ambre;I-MISC
forte;I-MISC
découplée;O
gars;O
Normande;B-LOC
pays;O
Caux;I-LOC
parais-;O
moins;O
vingt;O
plus;I-MISC
huit;O
On;O
latraitait;O
econde;O
car;O
été;O
sœur;O
eanne;O
sappelait;O
Rosalie;B-PER
principale;O
fonction;O
consistait;O
dailleurs;O
guider;O
"

  
  
   
   
   
  
   
  

 

";O
6;O
maîtresse;O
devenue;O
énorme;O
années;O
suite;O
hypertrophie;O
cœur;O
plaignait;O
cesse;O
La;B-MISC
atteignit;O
soufflant;O
beaucoup;O
perron;O
vieil;O
hôtel;O
regarda;O
cour;O
leau;O
ruis-;O
selait;O
murmura;O
Ce;O
nest;O
vraiment;O
raison-;O
nable;O
Son;O
souriant;O
Cest;O
vous;O
lavez;O
voulu;O
madame;O
Adélaïde;B-PER
Comme;O
pompeux;O
dAdélaïde;B-MISC
précéder;O
certain;O
air;O
respect;O
moqueur;O
remit;O
marche;O
monta;O
pénible-;O
ressorts;O
plièrent;O
sassit;O
prirent;O
place;O
banquette;O
reculons;O
cuisinière;O
Ludivine;B-PER
apporta;O
masses;O
manteaux;O
dispose;O
genoux;O
paniers;O
dissimula;O
sous;O
jambes;O
püis;O
grimpa;O
siège;O
senve-;O
loppa;O
couverturequi;O
coiffait;O
entiè-;O
rement;O
concierge;O
femme;O
vinrent;I-MISC
saluer;O
fermant;O
portière;O
ils;O
recurent;O
dernières;O
recom-;I-MISC
mandations;O
malles;O
devaient;O
suivre;O
charrette;O
partit;O
cocher;O
tête;O
baissée;O
dos;O
arrondi;O
disparaissait;O
carrick;O
triple;O
collet;O
bourrasque;O
gémissante;I-MISC
battait;O
vitres;O
inondait;O
chaussée;O
"

";O
7;O
berline;O
grand;O
trot;O
chevaux;O
dévala;O
rondement;O
quai;O
longea;O
ligne;O
grands;O
navires;O
mâts;O
vergues;O
cor-;O
dages;O
dressaient;O
tristement;O
ciel;O
ruisse-;O
dant;O
arbres;O
dépouillés;O
sen-;O
gagea;O
long;O
boulevard;O
mont;O
Riboudet;I-LOC
Bientôt;O
traversa;O
prairies;O
saule;O
noyé;O
branches;O
pendantes;O
abandonnement;O
cadavre;O
dessinait;O
vague-;O
travers;O
brouillard;O
deau;O
Les;O
fers;O
clapotaient;O
roues;O
faisaient;O
soleils;O
boue;O
taisait;O
esprits;O
eux;O
mêmes;O
semblaient;O
mouillés;O
Petite;O
renversant;O
appuya;O
ferma;O
paupières;O
considérait;O
œil;O
morne;O
campagnes;O
mono-;O
tones;O
trempées;O
paquet;O
ge-;O
noux;O
songeait;O
songerie;O
animale;O
gens;O
*;O
peuple;O
ruissellement;O
tiède;O
sentait;O
revivre;O
ainsi;O
quune;O
plante;O
vient;O
remettre;O
lair;O
lépaisseur;O
feuillage;O
abritait;O
tris-;O
tesse;O
Bien;O
parlât;O
envie;O
chan;O
ter;O
dehors;O
lemplir;O
deat;O
qu;O
boirait;O
jouissait;O
dêtre;O
emperiée;O
nd;O
voir;O
désolation;O
ps;B-ORG
sages;O
sentir;O
labri;O
"

   
   
   
  

";O
Ja;B-MISC
acharnée;O
croupes;I-MISC
luisantes;O
8;O
exhalaient;O
buée;O
bouillante;O
sendormait;O
figure;O
z;O
quencadraient;O
six;O
boudins;O
réguliers;O
pen-;O
dillants;O
saflaissa;O
mollement;O
grandes;O
vagues;O
cou;O
ondulations;O
perdaient;O
mer;O
soulevée;O
chaque;O
aspi-;O
ration;O
retombait;O
ensuite;O
joues;O
senflaient;O
tandis;O
quentre;O
lèvres;O
entrouvertes;O
passait;O
ronfle-;O
sonore;I-PER
pencha;O
posa;O
doucement;O
croisées;O
lampleur;O
ventre;O
portefeuille;O
cuir;O
toucher;O
réveilla;O
considéra;O
lobjet;O
regard;O
cet;O
hébétement;O
sommeils;O
interrompus;O
tomba;O
souvrit;O
De;B-MISC
lor;O
billets;O
banque;O
séparpillèrent;O
ca-;O
lèche;O
séveilla;O
fait;O
gaieté;O
fusée;O
rires;O
ramassa;O
largent;O
Je;B-MISC
Voici;O
ma;I-MISC
chère;O
amie;O
reste;I-LOC
ferme;O
dÉletot;B-PER
lai;I-MISC
vendue;O
pou;O
réparer;O
-les;O
nous;O
habiterons;O
-souve;O
désormais;O
no;B-MISC
da;O
À;O
compta;O
mille;O
cents;O
francs;O
etles;O
L{ran;B-LOC
quillement;O
poche;O
Cétait;B-MISC
neuvième;I-MISC
t;O
rente;O
leurs;O
parents;O
avaient;O
laissées;O
Ils;O
-possé;O
daient;O
cependant;O
environ;O
livre;O
rentes;O
terres;O
administrées;O
"

   
 
 
  
 
    
 

 

 

";O
9;O
raient;O
facilement;O
rendu;O
trente;O
an;O
vivaient;O
simplement;O
revenu;O
suffi;O
sil;O
eu;O
trou;O
fond;O
ouvert;O
tarissait;O
lar-;O
gent;O
tarit;O
marécages;B-PER
Gela;I-PER
coulait;O
fuyait;O
Personne;O
nen;I-MISC
savait;O
rien;O
mo-;O
lun;O
disait;O
sais;I-MISC
comment;O
cela;O
sest;O
jai;O
dépensé;O
cent;O
aujourdhui;O
acheter;O
Gette;B-PER
facilité;O
duresteun;O
sentendaient;O
façon;O
superbe;O
touchante;O
demanda;O
Est;O
-ce;O
mon;O
o;O
château;O
gaiement;O
Tu;B-PER
verras;O
fil-;I-MISC
lette;I-MISC
violence;O
laverse;O
diminuait;O
brume;O
très;O
fine;O
poussière;O
voltigeant;O
voûte;O
nuées;O
sélever;O
blanchir;O
soudain;O
voyait;O
rayon;O
oblique;O
it;I-MISC
nuages;O
sétant;O
fendus;O
bleu;O
rmament;O
déchirure;O
sagrandit;O
omme;O
voile;O
déchire;O
pur;O
azur;O
net;O
profond;O
développa;O
monde;O
souffle;O
frais;O
doux;O
passa;O
soupir;O
aeureux;O
longeait;O
jar-;O
"

  
  
      
 
   
   
  

";O
10;O
dins;O
ou;O
entendait;O
chant;O
alerte;O
oiseau;O
séchait;O
plumes;O
venait;O
Tout;O
dormait;O
mainte-;O
nant;O
excepté;O
sarrêta;O
auberges;O
laisser;O
souffler;O
davoine;O
sétait;O
couché;O
cloches;O
sonnaient;O
a;O
loin;O
Dans;O
village;O
alluma;O
lanternes;O
aussi;O
sillumina;O
fourmillement;O
dé-;O
