Texte;Type d'entité
PREMIERE;O
PARTIE;O
"
";I-MISC
Elle;O
change;O
et;O
ne;O
pas;O
MICIIELT;B-MISC
Le;O
matin;O
etait;O
see;O
craquant;O
de;O
froid;O
Lair;B-PER
glace;O
 ;O
eontraet6;B-ORG
semblait;O
soufflrir;O
comme;O
portant;O
en-;O
soi;O
loppression;O
une;O
felure;O
silenee;I-MISC
cupait;O
les;I-MISC
allees;O
sy;O
tenait;O
myste-;O
"

";I-MISC
1;O
rieusement;O
il;O
netit;O
pais;O
labsence;O
bruiit;O
ileit;O
eleehoielui;O
-;O
meme;O
"
 ";O
iisl;O
nt;B-ORG
lubre;I-ORG
trite;O
de1;O
nfgrmit;O
asoinoNee;O
4Rt;O
ere;O
pinciles;O
L;I-MISC
3;O
II;B-MISC
P5e;O
I;I-MISC
1I;I-MISC
"



";O
LI;B-PER
TGI;B-MISC
"

 


";I-PER
t;O
2;O
"


";O
LLL;B-MISC
Dans;B-MISC
le;O
beau;O
decharnement;I-MISC
du;O
chemin;O
iprhs;I-MISC
dune;O
haie;O
buissons;O
nus;O
deux;O
femmes;O
passaient;O
allaient;O
revenaient;O
parcourant;O
reprenant;O
la;O
route;O
se;O
plaisant;O
Lune;B-LOC
delles;O
aspirer;O
cet;O
air;O
deneige;O
aprement;O
desalterer;O
quelque;O
grande;O
l;O
soif;O
profonde;O
lautre;O
portait;O
dans;O
un;O
regard;O
lisse;O
ame;O
plus;O
etroite;O
plane;O
(;O
Quoiquelles;B-LOC
echangeassent;O
des;O
phrases;O
com-;O
mencees;O
sitot;O
comprises;O
quelles;O
eussent;O
lune;O
avee;O
laisance;O
silence;O
distractions;O
familieres;O
on;O
voyait;O
ne-;O
);O
taient;O
sang;O
La;O
qui;O
pouvait;O
avoir;O
vingt-trois;O
ou;O
vingt-quatre;O
ans;O
que;O
"






";O
LA;O
N0UVELLE;O
ESPERANCE;B-MISC
appelait;O
Sabine;B-PER
mince;O
longue;O
avec;O
visage;O
