Texte;Type d'entité
PREMIÈRE;B-ORG
PARTIE;O
"

";I-MISC
-;O
|;O
Elle;O
change;O
et;O
ne;O
pas;O
"
";O
MICHELETS;B-ORG
"

  

 

";O
2;O
_;I-MISC
LA;O
NOUVELLE;O
ESPÉRANCE;B-ORG
Dans;O
le;O
beau;O
décharnement;O
du;O
chemin;I-MISC
près;O
dune;O
haie;O
de;O
buissons;O
nus;O
deux;O
femmes;O
passaient;O
allaient;O
revenaient;O
parcourant;O
reprenant;O
la;O
même;O
route;O
se;O
plaisant;O
là;O
Dr;B-MISC
Lune;B-LOC
delles;O
semblait;O
aspirer;O
cet;O
air;O
neige;O
Le;O
àprement;O
désaltérer;O
quelque;O
grande;O
"
 ";O
lsoif;O
profonde;O
 ;O
lautre;O
portait;O
dans;I-MISC
un;O
regard;O
lisse;O
une;O
âme;O
plus;O
étroite;O
plane;I-MISC
Quoiquelles;O
échangeassent;O
des;O
phrases;O
com-;O
-mencées;O
sitôt;O
comprises;O
quelles;O
eussent;O
lune;O
avec;O
laisance;O
silence;I-MISC
distractions;O
familières;O
on;O
voyait;O
né-;O
Vtaieni;B-PER
sang;O
La;O
qui;O
pouvait;O
avoir;O
4;O
vingt-trois;O
ou;O
vingt-quatre;O
ans;I-MISC
que;O
appelait;O
Sabine;B-PER
était;O
mince;O
longue;O
w;O
visage;O
soyeux;O
pâle;O
cheveux;O
doux;O
dun;O
noir;I-MISC
Jourd;B-LOC
yeux;O
obseurs;O
ardents;O
glis-;O
sans;O
dont;O
nacre;O
à;O
lentour;O
prunelles;O
avait;O
couleur;I-MISC
lunes;O
bleues;O
chaleur;O
jeune;O
femme;O
donnait;O
tout;O
son;O
corps;O
aspect;O
tiède;O
+;O
fille;O
laccoinpagnait;O
&;O
parie;O
siagt;O
306;O
$;O
sa;O
1;O
belle-st;O
UF;B-ORG
"

 
   
 
 
 
 
 
 
 
 
 
 
 
  

 

   
    

";O
3;O
joiie;O
aussi;O
elle;O
clair;O
vifs;O
châtaignes;I-MISC
bouche;O
rire;O
délicats;O
Son;O
timide;O
simple;O
dévoilait;O
confusion;O
Un;B-MISC
peu;O
lasses;I-MISC
toutes;O
leur;O
course;O
rapide;O
elles;O
sassirent;O
sur;O
banc;O
regar-;O
dèrent;O
devant;O
Leur;B-MISC
respiration;O
faisait;O
leurs;O
voiles;O
buée;O
légère;O
Elles;O
regardaient;O
complaisam-;O
ment;O
cette;O
campagne;O
Muette;B-LOC
aimaient;O
Sur;O
les;I-MISC
pelouses;O
mornes;I-MISC
arbres;O
dévastés;I-MISC
en;O
forme;O
fourche;O
piquaient;O
ciel;O
Détroi-;B-PER
tes;O
rosaces;O
plantes;O
vives;O
semblables;O
petites;O
mâches;O
restaient;O
collées;O
quelques;I-MISC
herbes;O
terre;O
nue;O
gelée;O
De;O
place;O
statues;O
pierre;O
montaient;O
comme;O
haleine;O
blanche;O
tor-;O
peur;I-MISC
pendaient;O
lambeaux;O
autour;O
mes;O
mortes;O
carré;O
jardin;O
Au;O
loin;O
kiosque;O
servait;O
musique;I-MISC
été;O
narais-;O
sait;O
démoli;O
par;O
froid;O
Dérrière;B-LOC
tramway;O
passait;O
moments;O
grincer;O
raie;O
bruit;O
…;O
Madémoisèlle;O
Fontenay;I-PER
mettant;O
doute-;O
"

 

 

";O
main;O
bras;O
belle-sœur;O
regardant;O
tendresse;I-MISC
soigneuse;O
où;O
veillait;O
lanxiété;O
cœur;O
sage;O
lui;O
demanda;I-MISC
—;I-MISC
Que;O
vas;O
tu;O
faire;O
aujourdhui;O
Rien;B-PER
répondit;O
madame;O
je;O
vais;O
me;O
reposer;O
lire;O
sortirai;O
peut-être;O
FT;B-ORG
0;O
puis;O
cinq;O
heures;O
viens;O
prendré;O
nt;B-MISC
thé;O
chez;O
moi;O
Henri;B-PER
sera;O
Jérôme;B-PER
Pierre;B-MISC
ET;O
viendront;I-PER
LE;O
=;O
Madame;B-PER
dit;O
quelle;O
ferait;O
rien;O
parce;O
quil;I-MISC
ce;O
séprouvait;O
faiblement;O
nétait;O
quoiquelle;O
sentit;O
ni;O
malheureuse;O
dé-;O
Isirante;B-PER
dautre;O
chose;O
vie;O
monotone;O
